Cruise,Station,Latitude ,Longitude,CTDPRS [DBARS],CTDTMP [ITS-90],SALNTY [PSS-78],TALK [UMOL/KG],pH [UMOL/KG],TCO2 in (mmol/kgSW),NO2+NO3 [umol/kg],PO4 [UMOL/KG],SiO2 [umol/kg],Ar,,,,,,
RFI,300,59.2997,319.80341,20.427,6.7594,34.883,2322.1001,8.189,1922.5,4.36,0.42,2.18,2.46,,,,,,
RFI,300,59.2997,319.80341,20.427,6.7594,34.883,2318.8301,8.188,1920.3,,,,2.45,,,,,,
RFI,300,59.2997,319.80341,51.247,5.3276,34.966,2318.8401,8.024,2024.2,14.46,1.04,6.81,2.32,,,,,,
RFI,300,59.2997,319.80341,101.636,5.0098,34.958,2314.6699,8.023,2021,15.38,1.07,7.24,2.27,,,,,,
RFI,303,59.3027,322.40579,2.682,6.9326,34.835,2310.5701,8.096,1974,8.13,0.55,0.36,1.78,,,,,,
RFI,303,59.3027,322.40579,10.058,6.9239,34.843,2312.99,8.104,1971,8.29,0.56,0.52,2,,,,,,
RFI,303,59.3027,322.40579,21.109,6.2706,34.869,2311.6299,8.042,2007.7,12.2,0.89,5.23,1.98,,,,,,
RFI,303,59.3027,322.40579,51.042,5.6552,34.887,2311.97,8.021,2020.3,14.55,1,6.76,1.74,,,,,,
RFI,303,59.3027,322.40579,101.977,5.5198,34.928,2315.1399,8.013,2027.5,15.51,1.07,7.46,1.72,,,,,,
RFI,304,58.4519,320.99771,2.01,6.2333,34.755,2304.0801,8.126,1949.7,7.71,0.53,0.55,1.68,,,,,,
RFI,304,58.4519,320.99771,9.34,6.2005,34.778,2293.5,8.131,1936.9,7.67,0.54,0.57,2.11,,,,,,
RFI,304,58.4519,320.99771,19.691,6.1969,34.805,2313.47,8.119,1962.2,7.96,0.56,0.69,2.12,,,,,,
RFI,304,58.4519,320.99771,49.422,5.6397,34.817,2313.3601,8.077,1988.5,10.23,0.79,4.75,2.07,,,,,,
RFI,304,58.4519,320.99771,99.505,4.768,34.875,2315.9199,8.029,2019.3,14.86,1.05,7.2,1.97,,,,,,
RFI,308,58.4472,319.52399,3.09,5.7733,34.825,2314.03,8.099,1975.3,9.59,0.67,2.83,1.9,,,,,,
RFI,308,58.4472,319.52399,11.092,5.7735,34.826,2307.1299,8.098,1969.7,9.57,0.66,5.41,1.72,,,,,,
RFI,308,58.4472,319.52399,21.113,5.7733,34.826,2312.25,8.099,1973.7,9.58,0.66,1.04,1.98,,,,,,
RFI,308,58.4472,319.52399,50.997,5.7219,34.818,2309.3701,8.082,1981.8,10.51,0.73,2.33,1.83,,,,,,
